timestamp,exit_time,duration_minutes,position_size,entry_price,exit_price,sl_price,tp_price,probability,is_win,gross_pnl,transaction_cost,pnl
2023-09-01 11:04:00,2023-09-01 12:04:00,60.0,0.3,1943.37,1947.2567,1941.4266,1947.2567,0.8083246946334839,True,1.1660156,0.8,0.3660156
2023-09-01 11:05:00,2023-09-01 12:05:00,60.0,0.3,1943.45,1947.3368,1941.5065,1947.3368,0.7608035802841187,True,1.1660523,0.8,0.36605233
2023-09-01 11:06:00,2023-09-01 12:06:00,60.0,0.3,1943.26,1947.1465,1941.3168,1947.1465,0.8413453102111816,True,1.1659424,0.8,0.36594242
2023-09-01 11:08:00,2023-09-01 12:08:00,60.0,0.3,1943.13,1941.1869,1941.1869,1947.0162,0.8199156522750854,False,-0.5829346,0.8,-1.3829346
2023-09-01 11:13:00,2023-09-01 12:13:00,60.0,0.3,1943.17,1947.0563,1941.2269,1947.0563,0.8750909566879272,True,1.1658692,0.8,0.36586922
2023-09-01 11:14:00,2023-09-01 12:14:00,60.0,0.3,1943.36,1947.2467,1941.4166,1947.2467,0.7572769522666931,True,1.1660156,0.8,0.3660156
2023-09-01 11:15:00,2023-09-01 12:15:00,60.0,0.3,1943.07,1946.956,1941.127,1946.956,0.7798804044723511,True,1.1658325,0.8,0.3658325
2023-09-01 11:37:00,2023-09-01 12:37:00,60.0,0.3,1942.72,1946.6053,1940.7772,1946.6053,0.7870391607284546,True,1.1656128,0.8,0.3656128
2023-09-01 11:42:00,2023-09-01 12:42:00,60.0,0.3,1942.55,1946.435,1940.6075,1946.435,0.7709588408470154,True,1.165503,0.8,0.365503
2023-09-01 12:06:00,2023-09-01 13:06:00,60.0,0.3,1943.44,1947.3268,1941.4966,1947.3268,0.7657525539398193,True,1.1660523,0.8,0.36605233
2023-09-01 12:09:00,2023-09-01 13:09:00,60.0,0.3,1943.36,1947.2467,1941.4166,1947.2467,0.8271740674972534,True,1.1660156,0.8,0.3660156
