timestamp,exit_time,duration_minutes,position_size,entry_price,exit_price,sl_price,tp_price,probability,is_win,gross_pnl,transaction_cost,pnl
2023-08-17 11:20:00,2023-08-17 11:56:00,36.0,0.3,1896.21,1894.3137,1894.3137,1900.0023,0.7764831185340881,False,-0.5688721,0.8,-1.3688722
2023-08-17 12:07:00,2023-08-17 13:07:00,60.0,0.3,1894.12,1897.9082,1892.226,1897.9082,0.8677087426185608,True,1.1364625,0.8,0.33646244
2023-08-17 12:08:00,2023-08-17 13:08:00,60.0,0.3,1893.92,1897.7079,1892.0261,1897.7079,0.8782821297645569,True,1.1363525,0.8,0.33635253
2023-08-17 12:12:00,2023-08-17 13:11:00,59.0,0.3,1894.17,1897.9584,1892.2759,1897.9584,0.795205295085907,True,1.136499,0.8,0.33649904
2023-08-17 12:13:00,2023-08-17 13:11:00,58.0,0.3,1894.24,1898.0284,1892.3458,1898.0284,0.7978588938713074,True,1.1365356,0.8,0.33653563
2023-08-17 12:14:00,2023-08-17 13:11:00,57.0,0.3,1894.14,1897.9282,1892.2458,1897.9282,0.7592339515686035,True,1.1364625,0.8,0.33646244
2023-08-17 12:38:00,2023-08-17 13:11:00,33.0,0.3,1894.23,1898.0184,1892.3358,1898.0184,0.8572011590003967,True,1.1365356,0.8,0.33653563
2023-08-17 12:51:00,2023-08-17 13:21:00,30.0,0.3,1894.97,1898.7599,1893.0751,1898.7599,0.7853779196739197,True,1.1369752,0.8,0.33697516
2023-08-17 13:08:00,2023-08-17 14:08:00,60.0,0.3,1897.19,1900.9843,1895.2927,1900.9843,0.8563306331634521,True,1.1382935,0.8,0.3382935
2023-08-17 13:09:00,2023-08-17 14:09:00,60.0,0.3,1897.06,1900.8541,1895.163,1900.8541,0.8416184186935425,True,1.1382203,0.8,0.3382203
2023-08-17 13:10:00,2023-08-17 14:10:00,60.0,0.3,1897.47,1901.2649,1895.5725,1901.2649,0.8526580929756165,True,1.1384766,0.8,0.3384766
2023-08-17 13:11:00,2023-08-17 14:11:00,60.0,0.3,1897.73,1901.5254,1895.8323,1901.5254,0.7785647511482239,True,1.1386231,0.8,0.3386231
2023-08-17 13:12:00,2023-08-17 14:12:00,60.0,0.3,1897.53,1901.3251,1895.6326,1901.3251,0.7963612079620361,True,1.1385132,0.8,0.3385132
